frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
389,12952.8,34,494,378,,,,,,,,,,,,,,,
390,12984.7,34,493,343,,,,,,,,,,,,,,,
391,13017,33,491,310,,,,,,,,,,,,,,,
392,13052.6,32,491,286,,,,,,,,,,,,,,,
393,13084.9,30,490,270,,,,,,,,,,,,,,,
394,13122.2,29,489,267,,,,,,,,,,,,,,,
395,13153.1,30,489,276,,,,,,,,,,,,,,,
396,13185,32,488,294,,,,,,,,,,,,,,,
397,13217.1,32,488,322,,,,,,,,,,,,,,,
398,13253.1,32,489,355,,,,,,,,,,,,,,,
399,13284.9,32,487,388,,,,,,,,,,,,,,,
400,13316.7,31,484,419,,,,,,,,,,,,,,,
401,13353,30,488,445,,,,,,,,,,,,,,,
402,13388.8,29,488,460,,,,,,,,,,,,,,,
403,13417.5,29,489,463,,,,,,,,,,,,,,,
404,13453,30,489,453,,,,,,,,,,,,,,,
405,13485.3,33,491,432,,,,,,,,,,,,,,,
406,13516.8,34,492,401,,,,,,,,,,,,,,,
407,13553,33,492,366,,,,,,,,,,,,,,,
408,13584.9,35,492,331,,,,,,,,,,,,,,,
409,13617.2,34,496,300,,,,,,,,,,,,,,,
410,13652.9,32,497,279,,,,,,,,,,,,,,,
411,13685.6,30,498,267,,,,,,,,,,,,,,,
412,13717.4,30,498,267,,,,,,,,,,,,,,,
413,13760.2,31,501,280,,,,,,,,,,,,,,,
414,13784.9,32,502,301,,,,,,,,,,,,,,,
415,13817.2,33,502,331,,,,,,,,,,,,,,,
416,13852.8,32,501,365,,,,,,,,,,,,,,,
417,13885,33,503,399,,,,,,,,,,,,,,,
418,13917.6,31,502,429,,,,,,,,,,,,,,,
419,13952.9,30,503,450,,,,,,,,,,,,,,,
420,13984.8,29,503,461,,,,,,,,,,,,,,,
421,14017.1,29,501,460,,,,,,,,,,,,,,,
422,14052.9,31,501,446,,,,,,,,,,,,,,,
423,14086,33,499,421,,,,,,,,,,,,,,,
424,14117.1,35,499,388,,,,,,,,,,,,,,,
425,14152.8,35,496,353,,,,,,,,,,,,,,,
426,14185.1,35,496,319,,,,,,,,,,,,,,,
427,14216.9,34,495,291,,,,,,,,,,,,,,,
428,14253.7,31,493,275,,,,,,,,,,,,,,,
429,14284.7,30,492,267,,,,,,,,,,,,,,,
430,14317,30,491,272,,,,,,,,,,,,,,,
431,14353.2,31,488,288,,,,,,,,,,,,,,,
432,14385,33,488,312,,,,,,,,,,,,,,,
433,14417.1,33,487,344,,,,,,,,,,,,,,,
434,14453,33,484,379,,,,,,,,,,,,,,,
435,14487.9,31,485,410,,,,,,,,,,,,,,,
436,14519.6,32,485,437,,,,,,,,,,,,,,,
437,14553,29,484,456,,,,,,,,,,,,,,,
438,14586,28,487,463,,,,,,,,,,,,,,,
439,14617.3,29,486,457,,,,,,,,,,,,,,,
440,14653.2,31,487,440,,,,,,,,,,,,,,,
441,14685.8,32,487,412,,,,,,,,,,,,,,,
442,14716.9,34,485,376,,,,,,,,,,,,,,,
443,14752.7,34,492,343,,,,,,,,,,,,,,,
444,14784.6,33,491,310,,,,,,,,,,,,,,,
445,14817,31,493,286,,,,,,,,,,,,,,,
446,14853,30,495,271,,,,,,,,,,,,,,,
447,14886.5,29,496,267,,,,,,,,,,,,,,,
448,14917,30,498,276,,,,,,,,,,,,,,,
449,14954.7,32,498,295,,,,,,,,,,,,,,,
450,14985,33,500,322,,,,,,,,,,,,,,,
451,15017.2,32,501,354,,,,,,,,,,,,,,,
452,15053,33,504,388,,,,,,,,,,,,,,,
453,15084.8,31,504,421,,,,,,,,,,,,,,,
454,15117.4,30,503,445,,,,,,,,,,,,,,,
455,15152.8,29,504,459,,,,,,,,,,,,,,,
456,15184.9,29,504,461,,,,,,,,,,,,,,,
457,15217.1,31,502,452,,,,,,,,,,,,,,,
458,15252.8,32,502,431,,,,,,,,,,,,,,,
459,15285,34,502,400,,,,,,,,,,,,,,,
460,15317.1,35,498,364,,,,,,,,,,,,,,,
461,15353.2,35,502,329,,,,,,,,,,,,,,,
462,15384.9,33,500,299,,,,,,,,,,,,,,,
